job_title,total_jobs
LEAD SALES ASSOCIATE-FT,7325
Shift Manager,5818
First Year Tax Professional,5356
Assistant Manager,5346
Customer Service Representative,5203
LEAD SALES ASSOCIATE-PT,4924
Store Manager,4791
CUSTOMER SERVICE REPRESENTATIVE,4218
Registered Nurse,4190
Hourly Supervisor & Training,2955
Travel Allied Health Professional - CT Technologist,2933
Host,2871
Account Executive,2631
Senior Accountant,2548
Restaurant Manager,2335
Hourly Supervisor and Training,2230
Veterinarian,2200
OPERATIONS ASSISTANT MANAGER,2066
Executive Assistant,2054
Assistant General Manager,2054
