job_title,count
LEAD SALES ASSOCIATE-FT,7325
Shift Manager,5818
First Year Tax Professional,5356
Assistant Manager,5346
Customer Service Representative,5203
LEAD SALES ASSOCIATE-PT,4924
Store Manager,4791
CUSTOMER SERVICE REPRESENTATIVE,4218
Registered Nurse,4190
Hourly Supervisor & Training,2955
Travel Allied Health Professional - CT Technologist,2933
Host,2871
Account Executive,2631
Senior Accountant,2548
Restaurant Manager,2335
Hourly Supervisor and Training,2230
Veterinarian,2200
OPERATIONS ASSISTANT MANAGER,2066
Executive Assistant,2054
Assistant General Manager,2054
Maintenance Supervisor,1846
Department Supervisor,1700
Production Supervisor,1661
Department Manager,1637
Maintenance Technician,1625
Travel Allied Health Professional - Cath Lab Technologist,1570
Accounting Manager,1553
To Go Specialist,1487
Operations Manager,1441
Travel RN - Med Surg,1437
Sous Chef,1416
CT Technologist,1413
Accountant,1408
Registered Nurse (RN),1408
Sales Consultant,1362
Dentist,1348
Licensed Marriage and Family Therapist (LMFT),1341
Retail Associate,1316
Office Manager,1271
Kitchen Prep,1220
Service Advisor,1199
STORE MANAGER CANDIDATE,1187
Nurse Practitioner,1182
Project Manager,1174
Senior Project Manager,1118
Superintendent,1116
Product Demonstrator Part Time,1027
Business Development Manager,1012
Business Analyst,1011
Maintenance Manager,1010
